module_category,component_category,date_repair,actual,predicted
M1,P06,2009/01,39,63
M1,P06,2009/10,3,4
M1,P06,2009/11,4,3
M1,P06,2009/12,4,2
M1,P06,2009/02,29,45
M1,P06,2009/03,29,32
M1,P06,2009/04,10,22
M1,P06,2009/05,13,15
M1,P06,2009/06,9,16
M1,P06,2009/07,7,12
M1,P06,2009/08,5,9
M1,P06,2009/09,4,5
M1,P09,2009/01,7,5
M1,P09,2009/10,3,1
M1,P09,2009/02,2,3
M1,P09,2009/03,6,2
M1,P09,2009/04,4,2
M1,P09,2009/06,1,2
M1,P09,2009/07,3,2
M1,P09,2009/08,4,2
M1,P09,2009/09,1,1
M1,P12,2009/01,35,40
M1,P12,2009/10,3,4
M1,P12,2009/11,2,3
M1,P12,2009/12,1,3
M1,P12,2009/02,20,30
M1,P12,2009/03,25,23
M1,P12,2009/04,18,17
M1,P12,2009/05,6,13
M1,P12,2009/06,7,15
M1,P12,2009/07,5,12
M1,P12,2009/08,8,10
M1,P12,2009/09,10,6
M1,P15,2009/01,7,11
M1,P15,2009/10,1,1
M1,P15,2009/11,3,1
M1,P15,2009/02,6,8
M1,P15,2009/03,3,6
M1,P15,2009/05,8,3
M1,P15,2009/06,4,4
M1,P15,2009/07,2,3
M1,P15,2009/08,1,2
M1,P15,2009/09,3,1
M1,P16,2009/01,25,23
M1,P16,2009/10,3,5
M1,P16,2009/11,4,4
M1,P16,2009/12,5,3
M1,P16,2009/02,12,19
M1,P16,2009/03,16,15
M1,P16,2009/04,9,12
M1,P16,2009/05,10,9
M1,P16,2009/06,7,11
M1,P16,2009/07,2,9
M1,P16,2009/08,12,8
M1,P16,2009/09,7,5
M1,P17,2009/01,4,3
M1,P17,2009/11,2,0
M1,P17,2009/02,5,2
M1,P17,2009/04,4,1
M1,P17,2009/05,1,1
M1,P17,2009/09,4,0
M1,P20,2009/01,33,42
M1,P20,2009/10,2,1
M1,P20,2009/11,1,1
M1,P20,2009/02,24,30
M1,P20,2009/03,12,20
M1,P20,2009/04,11,13
M1,P20,2009/05,8,8
M1,P20,2009/06,2,7
M1,P20,2009/07,3,4
M1,P20,2009/09,2,1
M1,P28,2009/01,49,45
M1,P28,2009/10,1,3
M1,P28,2009/11,1,3
M1,P28,2009/02,31,31
M1,P28,2009/03,19,20
M1,P28,2009/04,10,13
M1,P28,2009/05,4,8
M1,P28,2009/06,6,9
M1,P28,2009/07,9,7
M1,P28,2009/08,9,6
M1,P28,2009/09,4,4
M1,P30,2009/01,4,18
M1,P30,2009/10,2,0
M1,P30,2009/02,4,12
M1,P30,2009/03,5,8
M1,P30,2009/09,1,0
M2,P02,2009/01,7,8
M2,P02,2009/10,4,2
M2,P02,2009/11,2,2
M2,P02,2009/12,2,2
M2,P02,2009/02,3,8
M2,P02,2009/03,8,6
M2,P02,2009/04,9,6
M2,P02,2009/05,4,5
M2,P02,2009/06,5,7
M2,P02,2009/07,6,6
M2,P02,2009/08,2,5
M2,P02,2009/09,1,3
M2,P04,2009/01,2,2
M2,P04,2009/10,2,1
M2,P04,2009/11,2,1
M2,P04,2009/12,3,1
M2,P04,2009/02,2,2
M2,P04,2009/03,1,2
M2,P04,2009/04,2,2
M2,P04,2009/05,1,2
M2,P04,2009/06,2,2
M2,P04,2009/07,1,3
M2,P04,2009/08,4,2
M2,P05,2009/01,30,52
M2,P05,2009/10,18,24
M2,P05,2009/11,23,18
M2,P05,2009/12,12,13
M2,P05,2009/02,27,51
