Rank,Name,Revenue,Profit,Asset,Employee,Country
1,Walmart,514405,6670,219295,2200000,U.S.
2,Sinopec Group,414650,5845,329186,619151,China
3,Royal Dutch Shell,396556,23352,399194,81000,Netherlands
4,China National Petroleum,392977,2271,601900,1382401,China
5,State Grid,387056,8175,572310,917717,China
6,Saudi Aramco,355905,110975,358873,76418,Saudi Arabia
7,BP,303738,9383,282176,73000,Britain
8,Exxon Mobil,290212,20840,346196,71000,U.S.
9,Volkswagen,278342,14323,523672,664496,Germany
10,Toyota Motor,272612,16982,469296,370870,Japan
11,Apple,265595,59531,365725,132000,U.S.
12,Berkshire Hathaway,247837,4021,707794,389000,U.S.
13,Amazon.com,232887,10073,162648,647500,U.S.
14,UnitedHealth Group,226247,11986,152221,300000,U.S.
15,Samsung Electronics,221579,39895,304165,309630,South Korea
16,Glencore,219754,3408,128672,85504,Switzerland
17,McKesson,214319,34,59672,70000,U.S.
18,Daimler,197515,8555,321891,298683,Germany
19,CVS Health,194579,-594,196456,295000,U.S.
20,Total,184106,11446,256762,104460,France
21,China State Construction Engineering,181525,3160,272769,302827,China
22,Trafigura Group,180744,849,53801,4316,Singapore
23,Hon Hai Precision Industry,175617,4282,110013,667680,Taiwan
24,EXOR Group,175010,1590,190052,314790,Netherlands
25,AT&T,170756,19370,531864,268220,U.S.
26,Industrial & Commercial Bank of China,168979,45002,4034482,449296,China
27,AmerisourceBergen,167940,1658,37670,20500,U.S.
28,Chevron,166339,14824,253863,48600,U.S.
29,Ping An Insurance,163597,16237,1040383,376900,China
30,Ford Motor,160338,3677,256540,199000,U.S.
31,China Construction Bank,151111,38498,3382422,366996,China
32,General Motors,147049,8014,227339,173000,U.S.
33,Mitsubishi,145243,5328,149388,79994,Japan
34,Honda Motor,143303,5505,184505,219722,Japan
35,Costco Wholesale,141576,3134,40830,194000,U.S.
36,Agricultural Bank of China,139524,30657,3293105,477526,China
37,Alphabet,136819,30736,232792,98771,U.S.
38,Cardinal Health,136809,256,39951,50200,U.S.
39,SAIC Motor,136393,5444,114012,147738,China
40,Walgreens Boots Alliance,131537,5024,68124,299000,U.S.
41,JPMorgan Chase & Co.,131412,32474,2622532,256105,U.S.
42,Gazprom,131302,23199,300355,466100,Russia
43,Verizon Communications,130863,15528,264829,144500,U.S.
44,Bank of China,127714,27225,3097612,310119,China
45,Allianz,126800,8806,1025919,142460,Germany
46,AXA,125578,2526,1063784,104065,France
47,Kroger,121162,3110,38118,453000,U.S.
48,General Electric,120268,-22355,309129,283000,U.S.
49,Fannie Mae,120101,15959,3418318,7400,U.S.
50,Lukoil,119145,9864,82735,102500,Russia
51,China Life Insurance,116172,-2567,580332,175077,China
