rank,company,revenue ($ millions),profit ($ millions)
1,Walmart,514405,6670
2,Exxon Mobil,290212,20840
3,Apple,265595,59531
4,Berkshire Hathaway,247837,4021
5,Amazon.com,232887,10073
6,UnitedHealth Group,226247,11986
7,McKesson,208357,67
8,CVS Health,194579,-594
9,AT&T,170756,19370
10,AmerisourceBergen,167939.6,1658.4
11,Chevron,166339,14824
12,Ford Motor,160338,3677
13,General Motors,147049,8014
14,Costco Wholesale,141576,3134
15,Alphabet,136819,30736
16,Cardinal Health,136809,256
17,Walgreens Boots Alliance,131537,5024
18,JPMorgan Chase,131412,32474
19,Verizon Communications,130863,15528
20,Kroger,121162,3110
21,General Electric,120268,-22355
22,Fannie Mae,120101,15959
23,Phillips 66,114217,5595
24,Valero Energy,111407,3122
25,Bank of America,110584,28147
26,Microsoft,110360,16571
27,Home Depot,108203,11121
28,Boeing,101127,10460
29,Wells Fargo,101060,22393
30,Citigroup,97120,18045
31,Marathon Petroleum,97102,2780
32,Comcast,94507,11731
33,Anthem,92105,3750
34,Dell Technologies,90621,-2310
35,DuPont de Nemours,85977,3844
36,State Farm Insurance,81732.2,8788.4
37,Johnson & Johnson,81581,15297
38,IBM,79591,8728
39,Target,75356,2937
40,Freddie Mac,73598,9235
41,United Parcel Service,71861,4791
42,Lowe's,71309,2314
43,Intel,70848,21053
44,MetLife,67941,5123
45,Procter & Gamble,66832,9750
46,United Technologies,66501,5269
47,FedEx,65450,4572
48,PepsiCo,64661,12515
49,Archer Daniels Midland,64341,1810
50,Prudential Financial,62992,4074
51,Centene,60116,900
52,Albertsons,59924.6,46.3
53,Walt Disney,59434,12598
54,Sysco,58727.3,1430.8
55,HP,58472,5327
56,Humana,56912,1683
57,Facebook,55838,22112
58,Caterpillar,54722,6147
59,Energy Transfer,54436,1694
60,Lockheed Martin,53762,5046
61,Pfizer,53647,11153
62,Goldman Sachs Group,52528,10459
63,Morgan Stanley,50193,8748
64,Cisco Systems,49330,110
65,Cigna,48650,2637
66,AIG,47389,-6
67,HCA Healthcare,46677,3787
68,American Airlines Group,44541,1412
69,Delta Air Lines,44438,3935
70,Charter Communications,43634,1230
71,New York Life Insurance,43425.3,880
72,American Express,43281,6921
73,Nationwide,43270,512.6
74,Best Buy,42879,1464
75,Liberty Mutual Insurance Group,42685,2160
76,Merck,42294,6220
77,Honeywell International,41802,6765
78,United Continental Holdings,41303,2129
79,TIAA,41052.1,1560.5
80,Tyson Foods,40052,3024
81,Oracle,39831,3825
82,Allstate,39815,2252
83,World Fuel Services,39750.3,127.7
84,Massachusetts Mutual Life Insurance,39267.2,397.9
85,TJX,38972.9,3059.8
86,ConocoPhillips,38727,6257
87,Deere,37357.7,2368.4
88,Tech Data,37239,340.6
89,Enterprise Products Partners,36534.2,4172.4
90,Nike,36397,1933
91,Publix Super Markets,36395.7,2381.2
92,General Dynamics,36193,3345
93,Exelon,35985,2010
94,Plains GP Holdings,34055,334
95,3M,32765,5349
96,AbbVie,32753,5687
97,CHS,32683.3,775.9
98,Capital One Financial,32377,6015
99,Progressive,31979,2615.3
100,Coca-Cola,31856,6434
101,USAA,31367.8,2291.9
102,Hewlett Packard Enterprise,30852,1908
103,Abbott Laboratories,30578,2368
104,Twenty-First Century Fox,30400,4464
105,Micron Technology,30391,14135
106,Travelers,30282,2523
